artist,title,lyrics,mood,label
Casual,I Didn't Mean To,"Verse One:

Alright I might
Have had a little glare when I stared at ya ho
But I didn't know she was like that
She stared right back
My niggas warnin me that she was comin on to me
I react like a mack do I act cool
Just to test her cause I ain't no jester
I suggest her and her friend be outtie
Cause I don't want to make my pals get rowdy
And doubt me our friendship
But when lips touch
I go crazy in the clutch
Sorta like schitzo I forgets my bros and pals over gals
I didn't mean to but when you fiend you do
Strange things for the denim no matter who's in em
Grab a flooze then I'm in traffic
Don't laugh it might be your girl that I'm talkin about
I didn't mean to

Chorus: Repeat 2X

It ain't my fault that your girl got caught
It ain't my fault that your girl got caught (I didn't mean to)

Verse Two:

Another incident when I went
Way beyond what I should of done
John should of stopped before them drawers dropped
But I didn't ain't no quittin
Really didn't care who's girl I was hittin
I admit skinz ain't a reason to lose friends
But then again I didn't know, sorry
Accept apologies and live on
Are we goin hold grudges well oh fudge
Its a new year and I do fear
Ya actions ya actin shy
I mean ya need to be smackin
That hoe
Instead of tryin to front on me ya know
Thats exactly how I'm goin to be ya know
I run my game on any G ya know
Cause we the most entertainin
I meant to blame women
For makin me do what the Ak seem to
When you call I screen you
I didn't mean to

Chorus


Verse Three:

Why do fools be schememin dreamin
Actin like demons
Niggas don't give a fuck
Because they beat shit
To many girls front cute
When they want loot
They tell lies the swell guys
Can peep it and thats weak shit
Thats why I run game on every freak I get
Born in Oakland grew up pumpin Too Short
I know the rules on the flooze so who's short
I once had a ho who smoked blunts yo
She tried to get me so I looked at the front door
And now shes not with me so forget it
But every once in a while I'll hit it
And it happened to be your girl
I didn't mean to and I been through
Your relationship and I hate dumb dips
But I really can't trip when they ride my tip
I didn't mean to

Chorus",sad,0
Adam Ant,Something Girls,"Adam Ant/Marco Pirroni
Every girl is a something girl
Every girl is a something girl
Every girl is a something girl
She's got something
Every girl is a something girl
Every girl has a somehing smile
Every girl is a something girl
For a while
If I had three wishes I know mine
I would not ask the stars to shine
I wouldn't ask for gems or pearls
I'd ask for the something girls
Every girl is a something girl
From the whites of her eyes
To the tip of a curl
Every girl sends a something boy
With that something
When this old world won't treat you right
You're not feeling yourself tonight
Think of someone you can do
Relax and let that something through
Every girl is a something girl
She's got she's got something",happy,1
Gob,Face the Ashes,"I've just erased it's been a while, I've got a world for sale
And now I walk away from it, it's better done secret
I never mouthed those words away, I wouldn't cause concern
Die in a crossfire runaway none of this exists
Someone is killing me

Turn him away, lay over there
His limb is red, I have all clear
Settle the wave I'm on my way
Dreaming of red, memories are worst

I feel abrasive worn and tired, don't think I could win
Take me to a place I adore and then seal me in
I'm not the one I swear I'm not, no matter how I felt
Die in a crossfire runaway, face the ash again
Someone is killing me",sad,0
Lionel Richie,Tonight Will Be Alright,"Little darling 
Where you've been so long 
I've been out here thinking about ya 
And the feeling's real strong 
Well the time has come to celebrate 
You and me girl so sounds great 
Cause tonight will be alright 
Oh baby 

Little darling, come on 
Let's take a ride 
To a midnight honey town and set it on fire 
We don't want to be mad 
But we have to be cool 
You and me girl 
Let's break all the rules 
Cause tonight will be alright 
Oh my baby, I'm gonna say it again 
I can see us moving on 
Down the highway 
I can see us loving 
Till our hearts desire 
Anything you wanna do girl 
You just tell me 
Cause it's alright, cause it's alright 

Little darling, telling you no use 
Keep me thinking about you honey 
My soul's on fire 
Well if you want me girl 
And the games I play 
Anything's alright, anything you say 
Cause tonight will be alright 
Alright, baby I'll say it again, alright 
Alright, alright, alright, baby 
We gonna make it alright 
You and me baby, alright",happy,1
Blue Rodeo,Floating,"Lead Vocal by Greg

Well, these late night conversations
Leave a strange taste,
Like french cigarettes.
And these coloured drinks
that you keep on throwin' at me
Just keep on reminding me
I came to forget.

So now every night
You insist on reminding me
Of my lost possibilities
And the stains on the wall.
Well, I don't mean to complain
But it hurts just the same.
And now both of us know
The leaves will fall on their own.

Just throw me a line
That's all that I ask
Well, it's sink or swim and I'm goin' fast
I need love and it's you
And I feel like William Holden floating in a pool.

Yea, you tell me
Life is for living
It's best in the giving
But it's so hard to be free.
Still I do my best
But you refuse my gift
And now all that we share
Is a collection of tears.

Just throw me a line
That's all that I ask
Well, it's sink or swim and I'm going fast
I need love and it's you
And I feel like William Holden floating in a pool.

Produced by Terry Brown
All songs written by Keelor/Cuddy
All songs published by Thunderhawk Music (SOCAN).
Copyright 1986, 1987 Blue Rodeo Productions. All rights reserved. Used with Permission.",sad,0
Tesla,Caught In A Dream,"If you can imagine this
The whole world sharin' one big kiss
These are thoughts all through my brain
That I daydream every day
I'm alive and well
Right now I'm alive, I'm feelin' well
It's my life to live my way
So I'll keep daydreaming away
Who knows, maybe someday it will all come true
And I will get my way
And we will live as one

I'm caught up in a dream
I'm gonna wish for it all
No one is gonna tell me how
No way, this is my dream now
I'm caught up in what seems
Simply impossible
I ain't gonna change a thing
No way, it's my dream

what cannot will be done
for every living thing under the sun
foggy color foggy race
just be one big happy face
among the sea of people
live among God's creatures sharing love 
that was sent down from above
here to share with one another
father, brother, sister, mother
everybody sharing love
sharing love

I'm caught up in a dream
I'm gonna wish for it all
No one is gonna tell me how
No way, this is my dream now
I'm caught up in what seems
Simply impossible
I ain't gonna change a thing
No way, it's my dream

I close my eyes
And everything will be alright
Here in my fantasy
Living in harmony
Make my dream come alive

I'm caught up in a dream
I'm gonna wish for it all
No one is gonna tell me how
No way, this is my dream now
I'm caught up in what seems
Simply impossible
I ain't gonna change a thing
No way, it's my dream

If you can imagine this
The whole world sharin' one big kiss
Take away the pain and hurt
Make like heaven here on earth
Without reason to die
Givin' everlasting life to all",happy,1
The Dillinger Escape Plan,Setting Fire to Sleeping Giants,"First off let me say you look so tired...
Rest your head and shut your eyes
Empty ambition blankets the sky...
I'm thinking 'bout another world

Tonight
So drop the gown the game's over just push your face into the fight and it breaks my heart like dancing up all night ride so high we both start thinking 'bout another world tonight
And it feels so wrong like nothing we've ever...
Felt before

The stranger's candy takes you where you ought to be
In broken alleys, in the back of every street
Close your eyes tonight
Baby you can have it
Baby you can have it

Ooh baby gnaw me
Down to the bone
Soon you'll find I'm never gonna take you back home
Well there's so much you never told me
And there's not much I want to know
'cause your pretty face will do just fine
You'll be the star...

Of my every last show
Let's go for a long ride I'll show you places you won't ever want to leave

The stranger's candy takes you where you ought to be
In broken alleys, in the back of every street
The stranger's candy, broken alleys
Tonight we could bring it all down we could bring it all down

They think this body's a dead note dancing to the beat but they'll never see this corpse coming 'till it kills them",happy,1
SUE THOMPSON,James (Hold The Ladder Steady),"James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms.
Now James and I we went to mama and showed her my diamond ring
She said ""my poor little baby, you must be crazy, to think of such a thing""
So James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms.
Now James and I we went to daddy and said that we want to be wed
Daddy said ""nope, you'll just have to elope"" and laughed as he went to bed""
But James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms.
I'd hate to see 'em in the morning when they both completely flip
He'll be sayin' ""they cain't"", she'll be feeling faint""
And I'll be kissing my husband's lips
So James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady
I'm a'comin' down to your ar-ar-ar-rms
I'm a'comin' down to your arms.

James, James hold the ladder steady
James, James I'm packed tonight I'm ready
James, James hold the ladder steady",happy,1
Five Bolt Main,Made Like This (Live),"Conclusions, illusions, of mainstream intrusions
I'm saying this is just your life
Brain of the main-frame, life
Your single one and only life
I'm starting from the back again, it's never ending
Ran off the track yes once again, the vibe is sending
So far from where I might have been, this message pending
I won't stop looking back again, the road is bending
Time exists on a band 'round your wrist, and the people you trust should be last on your list


We could solve the world's problems with just one wish, we were made like this
Time exists on a band 'round your wrist, and the people you trust should be last on your list
We could solve the world's problems with just one wish, we were made like this
Made like this, made like this
I'm saying this is just your life
(Chorus)
This is just your life, I'm saying this is just your life",sad,0
Willie Bobo,Spanish Grease,"Ain't no love
Ain't no love
Ain't no love
Ain't no love

We're missing in action living in a time when it's in fashion
To be gun flashing, blasting that's why we ain't lasting
All fastened, strapped ready for rivals harassing
Looking over your shoulder ducking cars that are passing
In my rumbo you hear that latin lingo
Guns shoot through at pachucos fuckin? sickos
With four nickels nobody walks around single
Get caught slipping they'll pull your card from a window
It's that simple locals get gaffled by barrio locos
Steal their spanish grease making them shed a tear like willie bobo
Over dollars, chains and rings things that are worth poco
A coco's out there stealing 'cause they're fiending for perico
A head crack will strike and attack for a sack
Pawn or sell your shit to buy a rock and bring that high back
That's why I strap it's my defense against those
Who are committing defense randomly becoming foes?
Shit is survival of fittest testing who's biggest and realest on the street
Feel this beware of killers, stealers and dealers
Rebel guerillas striking on policemen who give us
Hard times in the city where no love is with us

Ain't no love
Ain't no love
In the city?
In the city?

Ain't no love
Ain't no love
Ain't no love
Ain't no love
In the city
In the city
In the city
In the city

Ain't no love",sad,0
